SEASON_ID,SEASON_TYPE,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GAME_DATE,MATCHUP,WL,PTS,REB,AST,STL,BLK,TOV,FGA,FTA,MIN,FG3M
2025-26,Regular,203110,Draymond Green,GSW,2025-10-21,GSW @ LAL,W,8,7,9,1,2,4,6,3,28,1
2025-26,Regular,1627780,Gary Payton II,GSW,2025-10-21,GSW @ LAL,W,6,2,1,1,1,3,6,0,12,0
2025-26,Regular,203500,Steven Adams,HOU,2025-10-21,HOU @ OKC,L,4,13,3,0,0,3,4,2,37,0
2025-26,Regular,1630578,Alperen Sengun,HOU,2025-10-21,HOU @ OKC,L,39,11,7,2,1,4,24,11,49,5
2025-26,Regular,1631106,Tari Eason,HOU,2025-10-21,HOU @ OKC,L,3,6,0,0,1,4,6,0,22,1
2025-26,Regular,1629216,Gabe Vincent,LAL,2025-10-21,LAL vs. GSW,L,3,0,1,1,0,0,4,0,29,1
2025-26,Regular,1630559,Austin Reaves,LAL,2025-10-21,LAL vs. GSW,L,26,5,9,2,0,5,16,10,36,1
2025-26,Regular,1628983,Shai Gilgeous-Alexander,OKC,2025-10-21,OKC vs. HOU,W,35,5,5,2,2,3,26,14,47,1
2025-26,Regular,202710,Jimmy Butler III,GSW,2025-10-21,GSW @ LAL,W,31,5,4,1,0,1,14,16,35,1
2025-26,Regular,1630228,Jonathan Kuminga,GSW,2025-10-21,GSW @ LAL,W,17,9,6,1,0,2,11,2,33,4
2025-26,Regular,201142,Kevin Durant,HOU,2025-10-21,HOU @ OKC,L,23,9,3,0,0,4,16,6,47,0
2025-26,Regular,1642263,Reed Sheppard,HOU,2025-10-21,HOU @ OKC,L,9,2,4,1,1,2,11,2,28,2
2025-26,Regular,1629060,Rui Hachimura,LAL,2025-10-21,LAL vs. GSW,L,9,4,3,0,0,1,6,0,35,3
2025-26,Regular,1628392,Isaiah Hartenstein,OKC,2025-10-21,OKC vs. HOU,W,6,8,5,2,0,1,5,2,37,0
2025-26,Regular,1629652,Luguentz Dort,OKC,2025-10-21,OKC vs. HOU,W,6,6,5,1,0,1,12,2,45,0
2025-26,Regular,1642959,Chris Youngblood,OKC,2025-10-21,OKC vs. HOU,W,0,0,0,0,0,0,0,0,0,0
2025-26,Regular,1627741,Buddy Hield,GSW,2025-10-21,GSW @ LAL,W,17,1,0,1,0,2,11,0,22,5
2025-26,Regular,1641764,Brandin Podziemski,GSW,2025-10-21,GSW @ LAL,W,7,7,2,1,0,1,7,0,33,1
2025-26,Regular,1629006,Josh Okogie,HOU,2025-10-21,HOU @ OKC,L,8,2,1,0,1,0,3,6,20,1
2025-26,Regular,1641708,Amen Thompson,HOU,2025-10-21,HOU @ OKC,L,18,4,5,1,1,4,17,2,39,0
2025-26,Regular,1629029,Luka Dončić,LAL,2025-10-21,LAL vs. GSW,L,43,12,9,2,1,3,27,10,41,2
2025-26,Regular,1630598,Aaron Wiggins,OKC,2025-10-21,OKC vs. HOU,W,10,1,1,0,0,1,8,0,21,2
2025-26,Regular,1631096,Chet Holmgren,OKC,2025-10-21,OKC vs. HOU,W,28,7,2,0,0,3,17,4,38,2
2025-26,Regular,1641717,Cason Wallace,OKC,2025-10-21,OKC vs. HOU,W,14,7,5,4,0,2,10,2,42,3
2025-26,Regular,201143,Al Horford,GSW,2025-10-21,GSW @ LAL,W,5,5,1,0,0,2,7,0,20,1
2025-26,Regular,1630611,Gui Santos,GSW,2025-10-21,GSW @ LAL,W,0,0,0,0,0,1,0,0,3,0
2025-26,Regular,1642366,Quinten Post,GSW,2025-10-21,GSW @ LAL,W,0,2,1,0,0,0,0,0,9,0
